ZipCode,MEAN_Total_Time,COUNT_Total_Time,STD_Total_Time
22735,82.31196395,5,17.11783903
22737,70.25627591,5,5.231233103
22740,75.60990911,5,7.941964278
22742,67.98686593,5,8.010444546
22743,90.66415901,5,23.90167629
22747,86.09745055,5,8.677574454
22801,68.05929943,5,42.08315371
22802,70.63914946,5,43.4209314
22807,65.95767886,5,42.78720157
22810,98.90697018,5,27.60842741
22811,117.4367602,5,36.78681929
22812,74.46597698,5,38.06593485
22815,80.6058443,5,37.24110386
22821,79.88503021,5,43.07185289
22824,82.96531353,5,24.41561639
22827,69.6172946,5,37.87824994
22830,109.2644617,5,36.78578492
22831,88.26175323,5,43.44639478
22832,83.439923,5,43.41045963
22834,87.97960542,5,40.03025597
22835,79.67847216,5,23.22086516
22840,79.21300984,5,43.78491527
22841,69.25567676,5,37.30715837
22842,76.32695277,5,27.6075622
22843,90.39697467,5,38.0682618
22844,77.09614342,5,31.93089497
22847,85.08083647,5,31.92326924
22849,79.43445759,5,35.22986006
22851,82.1154313,5,27.08273498
22853,81.06383206,5,34.59498245
22901,41.65574571,5,31.78435475
22902,39.61399588,5,30.85903139
22903,39.49300935,5,32.54870608
22904,42.40657888,5,32.95733382
22911,50.89995185,5,30.29583899
22920,58.94375061,5,23.53158883
22923,57.76544462,5,23.24768556
22932,50.59697381,5,29.62831787
22936,56.97217555,5,30.6517352
22937,73.14868073,5,26.40450588
22939,59.58987573,5,29.78336299
22940,62.50716509,5,30.92153815
22942,48.78687539,5,16.78910958
22946,62.50068318,5,30.00241222
22947,44.99135575,5,25.51514508
22949,69.45477945,5,25.0329572
22952,64.03485311,5,30.61607724
22958,80.26528486,5,23.19978614
22959,51.68959232,5,27.8999462
22960,67.81024775,5,16.81396837
22963,55.08393246,5,19.83279849
22964,67.00661155,5,28.07047616
22967,73.75515087,5,25.5445508
22968,55.24134764,5,29.94701726
22969,63.68416796,5,26.63806092
22971,66.71977154,5,25.48693054
22973,57.36004798,5,29.48040812
22974,45.44037562,5,16.48653345
22976,72.8422541,5,11.33837029
22980,55.81290672,5,30.9296657
23002,61.47708471,5,20.0109677
23004,78.94629865,5,16.5108589
23005,26.81829662,5,23.22838571
23009,62.08729314,5,20.20050459
23011,49.73938296,5,2.942412955
23015,52.3798699,5,15.06538473
23022,66.60854812,5,16.51028211
23024,54.99865947,5,7.567117448
23027,69.18224439,5,7.56672869
23030,57.85354983,5,11.95133527
23035,77.88918653,5,9.133557259
23038,55.28301685,5,4.555991536
23040,68.69559312,5,8.824160714
23043,102.8075996,5,8.094299593
23047,45.47983734,5,17.23090323
23055,55.11876353,5,16.51028211
23059,29.62382617,5,19.73580352
23060,22.33167868,5,21.86437265
23061,64.73430432,5,9.133327786
23062,41.72189352,5,9.133327786
23063,44.47529171,5,4.964499556
23064,93.21616145,5,9.133557259
23065,34.56420675,5,4.964982755
23070,94.3112617,5,8.094299593
23071,83.84181123,5,7.964186684
23072,46.52587612,5,9.133327786
23075,28.04605533,5,21.99282516
23076,84.88405816,5,9.133557259
23079,85.52062698,5,2.877956575
23083,72.65973196,5,16.5434589
23086,62.71070003,5,23.02853476
23089,48.36345841,5,2.019546229
23093,56.35434089,5,10.55483273
23102,30.84834714,5,11.29885108
23103,33.34259356,5,17.00585838
23106,49.25484395,5,23.02853476
23109,94.36410984,5,9.133327786
23110,68.33457517,5,2.901433766
23111,31.52831987,5,23.02853476
23112,36.39042836,5,25.14207155
23113,33.96942079,5,22.59519315
23114,35.35239714,5,23.4132301
23116,30.49120654,5,23.28369012
23117,49.94935883,5,1.752972632
23119,95.59037912,5,9.133327786
23120,50.06223876,5,22.36446101
23123,83.36083096,5,16.5108589
23124,42.27732675,5,10.9222397
23128,84.49201245,5,9.133557259
23129,27.41006516,5,11.36394071
23138,106.4840228,5,9.133327786
23139,44.90291084,5,12.83463906
23140,46.25940983,5,7.524739239
23141,34.68473794,5,15.5904866
23146,30.46272119,5,13.06633877
23148,68.31201263,5,23.02853476
23149,79.08591152,5,2.87898425
23150,30.54814773,5,19.16595015
23156,67.10557771,5,2.170883753
23161,75.40166524,5,10.26985982
23168,50.14738363,5,4.553101433
23169,84.01484639,5,2.99682639
23173,18.84409596,5,26.28724422
23175,81.43210612,5,2.878413787
23180,95.46809564,5,2.877868923
23181,57.05745665,5,2.902083173
23185,44.4137713,5,9.133472997
23188,51.81659067,5,8.375283996
23192,40.93230565,5,14.86157318
23219,21.55080695,5,25.7646671
23220,19.74717068,5,26.38348142
23221,20.84498295,5,26.59983839
23222,23.23690709,5,25.57195655
23223,25.14107309,5,25.32060923
23224,27.02754395,5,26.33662156
23225,24.40837968,5,26.63173253
23226,15.42660126,5,27.05487388
23227,20.1842464,5,25.34625524
23228,19.99381707,5,24.74008603
23229,18.46327418,5,24.41888096
23230,16.73468153,5,26.11251318
23231,30.01257369,5,25.51235548
23233,21.62323268,5,20.58015148
23234,30.68390823,5,26.63245336
23235,27.67588287,5,26.63203558
23236,30.38309976,5,26.63267123
23237,35.69708368,5,26.61010819
23238,24.28738105,5,22.61820295
23294,19.14030232,5,22.46138941
23301,130.4274861,5,3.298003969
23303,139.0343539,5,3.298003969
23308,131.8240516,5,3.298003969
23310,67.99371468,5,2.88327308
23314,26.70646966,5,4.670884979
23315,57.15179803,5,2.401951676
23320,16.05491543,5,5.923892036
23321,16.24699162,5,4.100730663
23322,22.19557345,5,6.688527908
23323,19.13565683,5,1.54420867
23324,13.68277378,5,6.106116704
23325,14.57931598,5,3.338566676
23336,161.8703373,5,3.298003969
23347,79.9106317,5,2.88327308
23350,97.31931284,5,3.298003969
23357,119.4611528,5,3.298003969
23359,138.6086316,5,3.298003969
23395,154.2698916,5,3.298003969
23405,79.05655733,5,2.88327308
23410,110.5586488,5,3.298003969
23414,128.7631453,5,3.298003969
23415,150.0201952,5,3.298003969
23417,123.7036337,5,3.298003969
23418,113.2066586,5,3.298003969
23420,103.0346196,5,3.298003969
23421,121.7509024,5,3.298003969
23423,108.6929434,5,3.298003969
23426,154.3058077,5,3.298003969
23430,35.91331028,5,3.917964599
23432,34.5139017,5,3.839517507
23433,27.00847869,5,3.953506018
23434,30.08109487,5,2.401951676
23435,15.05832314,5,4.627650634
23436,24.92256178,5,4.318310488
23437,55.96149126,5,2.401951676
23438,52.63087932,5,2.401951676
23451,22.31767873,5,3.681157259
23452,16.70658972,5,4.1882197
23453,21.01777072,5,8.816648422
23454,24.37969043,5,3.846576614
23455,20.19333705,5,2.959123359
23456,20.0538535,5,9.625912233
23457,50.38501664,5,9.83949322
23462,14.21639001,5,2.855347936
23464,15.69257895,5,1.46206177
23480,117.5169171,5,3.298003969
23487,52.43303506,5,2.499443506
23502,14.03967099,5,4.699235439
23503,18.26714296,5,4.76496249
23504,11.8767647,5,7.199025067
23505,16.82534834,5,5.302812121
23507,9.202585355,5,8.0506339
23508,12.48974683,5,7.762058843
23509,13.55251188,5,7.198770555
23510,9.714152906,5,7.153932878
23513,15.2534123,5,5.056804387
23517,10.324797,5,7.562812524
23518,20.04683906,5,4.224489035
23523,11.64016444,5,5.991213348
23601,25.40004714,5,10.04067521
23602,31.52944191,5,9.170750652
23603,31.27878422,5,9.17079752
23604,38.04181299,5,9.170799109
23605,22.39111344,5,8.539645936
23606,29.54546547,5,9.462585652
23607,19.58972103,5,6.946814554
23608,35.35965959,5,9.170799109
23661,20.40554343,5,8.001449491
23662,33.6000575,5,11.72624537
23663,20.52101929,5,5.27456998
23664,25.38722718,5,5.27456998
23665,27.49194895,5,11.16117983
23666,22.76452409,5,10.9368533
23669,20.70781579,5,6.60880089
23690,38.69690997,5,9.133327786
23692,31.92189774,5,9.170628077
23693,28.47210052,5,10.41174894
23696,42.47143419,5,9.170655408
23701,14.34995199,5,4.403828035
23702,14.10807924,5,5.066755522
23703,13.29070512,5,6.480366799
23704,11.70274854,5,6.046497552
23707,11.29758641,5,5.907864791
23708,11.9689798,5,7.243692688
